coef,std_err,t_stat,p_value,term,outcome
0.09251435843593869,0.003395143252243826,27.249029440744987,0.0,Intercept,converted
0.0009409378607192487,0.002349296864109348,0.4005189276392158,0.6887743453527375,baseline_activity,converted
0.0010409643175692818,0.0019675049425832794,0.5290783748693025,0.5967510821549029,pre_metric,converted
0.0029346709196919063,0.004387338706457445,0.6688954548625459,0.5035621697645076,C(block)[T.2],converted
0.008429940154121268,0.004763046495306876,1.769863082887697,0.0767499520146595,C(block)[T.3],converted
0.0035063726559882227,0.00509998275724415,0.6875263746740474,0.4917510862624963,C(block)[T.4],converted
0.004408843233446591,0.005461614525555522,0.8072417437768826,0.4195272200460367,C(block)[T.5],converted
0.008416882913219847,0.006109032603563358,1.3777767216875445,0.16827223524046175,C(block)[T.6],converted
0.0031900655677320477,0.0070412102195923885,0.4530564303925467,0.6505081077596608,C(block)[T.7],converted
0.008317638881279565,0.007952768887914251,1.0458796173392897,0.2956166160412885,C(block)[T.8],converted
0.008334255146157155,0.009791006715295496,0.8512153436824217,0.39464974095147576,C(block)[T.9],converted
0.002507828940050416,0.01400484684630992,0.17906864441799974,0.8578838021601005,C(block)[T.10],converted
0.02627791442221522,0.0027107436440657637,9.69398728638233,0.0,received,converted
0.09781099552828576,0.0037042717336031256,26.404919121077956,0.0,Intercept,post_purchases
-0.0006174482928260616,0.0025243115742238156,-0.24460066622953106,0.8067656481512921,baseline_activity,post_purchases
0.0020893644202666373,0.002138444850105711,0.9770485407483633,0.3285451218624966,pre_metric,post_purchases
0.0038656536104831885,0.004781261931011723,0.8085006984056216,0.418802404165052,C(block)[T.2],post_purchases
0.010680207199545627,0.005204705444199504,2.0520291328779066,0.04016683123361342,C(block)[T.3],post_purchases
0.004815280042838075,0.00546851729476573,0.880545819512556,0.3785636948866671,C(block)[T.4],post_purchases
0.005925679285330443,0.005829835732143464,1.0164401807513261,0.30941981976827204,C(block)[T.5],post_purchases
0.012265424767157196,0.00653959695551732,1.8755627985313554,0.060715338741807345,C(block)[T.6],post_purchases
0.006533943533735265,0.007500029039877368,0.8711890979347595,0.3836509115965365,C(block)[T.7],post_purchases
0.012103398381115626,0.008385837362288455,1.4433142282898588,0.1489319734754464,C(block)[T.8],post_purchases
0.012442795661141481,0.01019480005542681,1.2205041387268833,0.2222738215705684,C(block)[T.9],post_purchases
0.008850446652116872,0.01469118136797368,0.6024326043248347,0.5468862124283602,C(block)[T.10],post_purchases
0.02870637679915261,0.002920828866397391,9.828161152953692,0.0,received,post_purchases
